,CVE_DOC,FECHA_ENT,FECHA_VEN,CAN_TOT
0,F29414,2019-09-03 00:00:00,2019-09-18,3980.0
1,F29415,2019-09-03 00:00:00,2019-10-03,1550.0000000000002
2,F29416,2019-09-03 00:00:00,2019-10-03,1550.0
3,F29417,2019-09-03 00:00:00,2019-10-03,1550.0
4,F29418,2019-09-03 00:00:00,2019-09-03,2435.44
5,F29419,2019-09-04 00:00:00,2019-09-19,3979.9979999999996
6,F29420,2019-09-04 00:00:00,2019-09-04,402.59
7,F29421,2019-09-04 00:00:00,2019-09-04,402.59
8,F29422,2019-09-02 00:00:00,2019-09-04,1606.74
9,F29423,2019-09-02 00:00:00,2019-09-04,1144.4299999999998
10,F29424,2019-09-03 00:00:00,2019-09-04,462.31
11,F29425,2019-09-02 00:00:00,2019-09-04,1144.4299999999998
12,F29426,2019-09-04 00:00:00,2019-09-04,157.75799999999998
13,F29427,2019-09-04 00:00:00,2019-09-04,157.75799999999998
14,F29428,2019-09-04 00:00:00,2019-09-19,1724.137
15,F29429,2019-09-04 00:00:00,2019-09-04,1415.5172
16,F29430,2019-09-05 00:00:00,2019-09-20,1989.9989999999998
17,F29431,2019-09-05 00:00:00,2019-09-05,258.65999999999997
18,F29432,2019-09-05 00:00:00,2019-09-20,976.5
19,F29433,2019-09-05 00:00:00,2019-09-05,280.0
20,F29434,2019-09-06 00:00:00,2019-09-21,224.637
21,F29435,2019-09-06 00:00:00,2019-10-06,1196.6
22,F29436,2019-09-06 00:00:00,2019-09-21,976.5
23,F29437,2019-09-06 00:00:00,2019-09-06,224.64
24,F29438,2019-09-06 00:00:00,2019-09-21,1282.327
25,F29439,2019-09-06 00:00:00,2019-09-06,1964.0
26,F29440,2019-09-09 00:00:00,2019-09-09,229.66
27,F29441,2019-09-09 00:00:00,2019-09-09,1602.59
28,F29442,2019-09-09 00:00:00,2019-09-09,9586.0
29,F29443,2019-09-09 00:00:00,2019-09-09,105.00000000000001
30,F29444,2019-09-09 00:00:00,2019-09-09,1444.3999999999999
31,F29445,2019-09-09 00:00:00,2019-09-09,258.62
32,F29446,2019-09-09 00:00:00,2019-09-24,1724.137
33,F29447,2019-09-10 00:00:00,2019-09-10,852.2669999999999
34,F29448,2019-09-10 00:00:00,2019-09-10,517.241
35,F29449,2019-09-10 00:00:00,2019-09-10,258.62
36,F29450,2019-09-10 00:00:00,2019-09-10,2435.4400000000005
37,F29451,2019-09-10 00:00:00,2019-09-10,760.57
38,F29452,2019-09-10 00:00:00,2019-09-10,919.4560000000001
39,F29453,2019-09-04 00:00:00,2019-09-10,112.10000000000001
40,F29454,2019-09-10 00:00:00,2019-09-10,1432.83
41,F29455,2019-09-10 00:00:00,2019-09-10,366.49100000000004
42,F29456,2019-09-10 00:00:00,2019-09-25,1059.8700000000001
43,F29457,2019-09-10 00:00:00,2019-09-25,1059.8700000000001
44,F29458,2019-09-10 00:00:00,2019-09-25,1059.8700000000001
45,F29459,2019-09-10 00:00:00,2019-09-10,3691.7000000000003
46,F29460,2019-09-10 00:00:00,2019-10-10,8700.0
47,F29461,2019-09-10 00:00:00,2019-09-25,360.34400000000005
48,F29462,2019-09-10 00:00:00,2019-09-10,7140.540000000001
49,F29463,2019-09-10 00:00:00,2019-11-09,1800.0000000000002
50,F29464,2019-09-11 00:00:00,2019-11-10,17850.0
51,F29465,2019-09-11 00:00:00,2019-09-11,858.35
52,F29466,2019-09-11 00:00:00,2019-09-11,2623.8
53,F29467,2019-09-11 00:00:00,2019-09-11,1044.76
54,F29468,2019-09-11 00:00:00,2019-09-11,516.3000000000001
55,F29469,2019-09-11 00:00:00,2019-09-11,258.66
56,F29470,2019-09-11 00:00:00,2019-09-11,500.0
57,F29471,2019-09-11 00:00:00,2019-09-11,280.0
58,F29472,2019-09-11 00:00:00,2019-10-11,1500.0000000000002
59,F29473,2019-09-11 00:00:00,2019-10-11,24000.000000000004
60,F29474,2019-09-11 00:00:00,2019-09-26,1059.89
61,F29475,2019-09-11 00:00:00,2019-09-11,3253.4000000000005
62,F29476,2019-09-11 00:00:00,2019-09-11,357.00000000000006
