,Referencia,Fecha_Alta,Tipo,Operación,Provincia,Superficie,Precio Venta,Fecha Venta,Vendedor
0,1,2004-01-01,Parking,Alquiler,Lleida,291.0,2133903.0,2004-06-19,Carmen
1,2,2004-01-01,Local,Venta,Girona,185.0,1945424.0,2004-04-19,Pedro
3,4,2004-01-02,Parking,Alquiler,Girona,285.0,,2004-04-27,Jesús
5,6,2004-01-03,Industrial,Alquiler,Girona,131.0,953156.0,2004-09-05,Pedro
6,7,2004-01-03,Parking,Alquiler,Tarragona,,406686.0,2004-06-07,Pedro
8,9,2004-01-04,Piso,Alquiler,Lleida,108.0,1024380.0,2004-12-28,Jesús
9,10,2004-01-04,Parking,Venta,Lleida,299.0,2042768.0,2004-10-06,Joaquín
11,12,2004-01-04,Industrial,Venta,Girona,187.0,999328.0,2004-04-05,Carmen
12,13,2004-01-04,Parking,Venta,Barcelona,,2937300.0,2004-11-04,Jesús
13,14,2004-01-04,Local,Venta,Tarragona,68.0,664700.0,2004-10-01,Carmen
14,15,2004-01-04,Industrial,Alquiler,Girona,176.0,820336.0,2004-11-29,Pedro
18,19,2004-01-07,Piso,Alquiler,Girona,55.0,472615.0,2004-04-09,Luisa
20,21,2004-01-09,Industrial,Venta,Barcelona,228.0,2020992.0,2004-06-12,Carmen
25,26,2004-01-10,Local,Alquiler,Tarragona,70.0,549780.0,2004-06-22,Jesús
26,27,2004-01-11,Local,Alquiler,Tarragona,70.0,659330.0,2004-12-23,Pedro
29,30,2004-01-12,Local,Alquiler,Tarragona,201.0,939072.0,2004-08-04,Carmen
30,31,2004-01-13,Industrial,Alquiler,Barcelona,142.0,1405374.0,2004-09-24,Jesús
32,33,2004-01-15,Local,Alquiler,Barcelona,181.0,1504110.0,2004-07-03,María
34,35,2004-01-15,Industrial,Alquiler,Tarragona,257.0,1799771.0,2004-12-31,Luisa
35,36,2004-01-16,Industrial,Alquiler,Tarragona,140.0,1054340.0,2004-12-02,Luisa
36,37,2004-01-16,Local,Venta,Girona,229.0,1160572.0,2004-07-09,Pedro
38,39,2004-01-18,Parking,Alquiler,Tarragona,215.0,1154980.0,2005-01-14,Joaquín
